age,income,expenditure,homeowner,selfemp,dependents
30.08333,3.67,4.583333,yes,no,0
23.08333,2.56,320.5167,no,no,1
48.91667,3.5,197.9233,yes,no,0
25.33333,3.24,68.87083,no,no,0
25.33333,3.48,148.26,yes,no,0
24.91667,2.938,68.53333,no,no,0
26.5,3,121.5558,yes,no,0
34.33333,6,86.22667,yes,no,1
28.41667,2.6,105.095,yes,no,0
23.58333,3.9,58.99083,no,no,1
31.5,5.905,123.8917,no,no,1
36.16667,7.8,78.54166,yes,no,1
31.25,5.6965,38.0625,yes,yes,2
28.08333,2.16,46.14167,no,no,2
21.75,3.5,265.0142,no,no,2
30.25,2.55,74.72667,yes,no,1
43.5,1.7472,107.7642,yes,no,0
29.58333,1.95,6.5,yes,no,2
33.75,5,209.0558,yes,no,3
24.16667,2.8896,193.0675,no,no,0
25.41667,2.7,144.3842,yes,no,1
24.25,4,358.9725,no,no,0
24.08333,2.3,59.1475,no,no,0
21.91667,2.4,465.195,yes,no,1
36.25,2.52,142.2425,no,no,2
23.83333,1.56,501.8025,no,no,0
49.41667,2.4,88.5925,no,yes,0
26.08333,2,282.8758,no,no,0
29.16667,2.58,361.1617,no,no,0
33,3.15,150.1767,no,yes,0
29.33333,2.3,76.24416,no,no,2
47.58333,4.65,58.24583,no,no,2
21.58333,3.12,88.23333,no,no,0
30.41667,2,7.083333,yes,no,3
21.58333,2.46,289.0442,no,no,1
30.66667,3.8,102.9767,no,no,0
47.75,2.6372,13.91667,yes,no,0
39.75,7,641.4216,yes,no,2
25.16667,3.25,84.275,no,no,0
61.08333,4.32,132.8508,yes,no,1
29.16667,2.5,159.595,no,no,0
35.33333,3,135.045,no,no,1
26.08333,3.5,250.5208,no,no,0
42.75,4.56,188.6208,no,no,0
27.58333,2.76,23.25,no,no,0
22.5,2.535,214.065,yes,no,2
32.83333,1.32,42.63083,no,no,1
30.16667,7.2904,474.5,yes,no,4
25.08333,7.5,304.3817,yes,no,0
34.58333,3.2604,78.75083,no,no,1
24.66667,1.632,238.3275,no,no,1
40.75,8,311.1425,yes,no,2
31.33333,2.2,77.04667,yes,no,2
27.83333,5,120.4033,yes,no,1
30.83333,3,156.5725,yes,no,2
46.25,2,10.58333,yes,no,0
20.5,1.54,114.8158,no,no,0
51.66667,3,179.7658,yes,no,0
41.83333,5,625.3675,yes,no,3
51.75,4.7232,84.9025,yes,no,1
26.08333,2.3,67.66666,no,no,0
20.5,1.6,111.6925,no,no,0
27.75,2.2,257.3017,no,no,0
23.25,4.32,675.7708,no,no,2
20.33333,1.6752,245.3308,no,no,0
83.5,2.8725,13.33333,yes,yes,0
24.5,2.6,149.545,no,yes,0
33.75,2.9,253.3658,yes,no,2
25.08333,2.65,20.47917,no,no,0
26.91667,1.9,41.81667,no,no,0
65.91666,2.95,118.7133,yes,no,1
21.58333,3.12,225.4592,no,no,1
35,4.1125,101.2008,yes,no,1
25.33333,2,10.42,no,no,0
33.66667,3.5,7.166667,no,no,0
30.08333,2.6,12.08333,yes,no,4
24.58333,2.8,146.8625,no,no,0
37.75,5.9,324.6183,yes,no,3
46.25,5.4,268.7242,yes,no,4
29.5,2.8,249.1658,no,no,0
43.83333,3.9,50.08333,yes,no,3
46.91667,3.4,87.63667,no,no,0
21.83333,2.08,203.3667,no,no,0
57.66667,2.5,105.125,yes,no,0
23.66667,1.95,50.17833,no,no,0
25.66667,2.1,327.11,no,no,0
34.83333,3.2,175.1367,yes,no,2
40.33333,3.067,408.0825,no,no,2
24.41667,2.8,33.57083,no,no,0
31.25,4.8,404.49,yes,no,0
29.83333,2.8,80.45084,yes,no,0
35.91667,4.2,8.333333,yes,no,4
42.91667,4,240.2775,no,no,2
34.16667,4.3,88.94667,no,no,1
21.91667,3,11.00417,no,no,1
21.25,1.75,281.8067,no,no,0
22.91667,2.15,17.17167,no,no,0
35.83333,2.42,119.625,yes,no,0
41.08333,2.8,86.54667,yes,no,0
40.75,3.64,94.11833,no,no,1
53.58333,9.9999,832.2433,yes,no,3
34.83333,6.5,762.3784,yes,no,0
32.16667,3.805,26,yes,no,0
40.75,2.15,227.6017,no,no,1
38.58333,4,379.8658,no,no,0
22.41667,3.1,620.055,no,no,0
29.08333,4.58,48.615,no,no,0
33.75,1.8,195.4508,yes,no,3
21.91667,2.2593,122.1917,yes,no,0
26.41667,3.5,384.8992,no,no,2
40.33333,9.9999,129.3333,yes,no,4
37.58333,2.9623,4.583333,yes,yes,1
27.75,2.7,210.6475,no,no,0
21.66667,2.16,198.5483,yes,no,0
26.16667,4,3.166667,no,no,2
27.33333,2.75,153.7267,no,no,0
39.75,2.42,34.15583,yes,no,1
25.33333,2.1,344.1808,yes,no,1
0.1666667,3.24,497.7058,yes,no,3
41.58333,2.3,87.105,yes,no,0
34,2.205,80.86833,yes,no,2
35.83333,2.4,143.3467,yes,no,0
22,2.7,105.2833,no,no,0
34,3.7,583.7783,yes,yes,2
34.5,6.2,950.8641,yes,no,0
40.33333,2.5,105.9617,no,no,1
45,4.03,137.0717,no,no,0
24.91667,2.9,0.3125,yes,no,0
27.83333,1.99,100.1433,yes,no,1
56.91667,1.92,320.6758,yes,yes,1
34.41667,5,683.4283,yes,yes,1
26.58333,2.2,145.6958,no,no,0
20.41667,2.2375,93.91917,no,no,0
40.16667,1.9,167.8267,yes,no,3
25.66667,5.5,703.4067,yes,no,1
26,7,1292.003,no,yes,0
28.25,3.9,248.9058,no,no,0
49.16667,5.2,71.53,yes,no,1
24.16667,3.25,347.9483,no,no,0
32.66667,3.6,4.583333,no,no,0
32.58333,10,831.7317,yes,no,3
36,3.7,101.7633,yes,no,2
29.25,4.467,424.1767,yes,yes,0
22.91667,4.8,232.2758,no,no,2
61,1.5,335.5625,yes,no,1
54.41667,1.5,20.18083,no,no,0
30.33333,2.45,119,no,no,0
27.08333,1.89,69.0325,no,no,0
39,3.5,131.6742,yes,no,2
47.08333,4.5,523.125,yes,no,0
33.08333,4.5,391.4175,no,no,1
45,3.8,99.10333,yes,no,1
23.33333,2.7,379.2983,no,no,0
26.58333,3.2,398.8508,yes,no,2
22.91667,1.92,34.09167,yes,no,2
45.66667,2.308,423.1267,no,no,1
48.91667,3,241.4233,yes,no,2
39.75,2.45,145.7192,yes,no,3
20.08333,3.4,0.9166667,no,no,0
32.91667,2.5,512.0125,no,no,1
39.66667,3,318.51,yes,no,0
26.83333,3.15,189.6842,no,no,0
27.25,3.5,194.4667,no,no,0
19.58333,1.8,182.6092,no,no,0
24.08333,2.25,297.0317,no,no,1
22.83333,2,37.97417,no,no,0
27.08333,4.1,395.585,yes,no,2
23.83333,2.97,204.5367,no,no,0
41.66667,5.5,148.3725,yes,no,3
27.25,3.15,170.4667,yes,no,2
46.5,3.5,122.9292,no,yes,2
21.08333,1.5344,4.583333,no,no,0
32.33333,5.1,430.6925,yes,no,0
22.58333,2.25,20.08333,no,no,0
25.58333,3.41,17.785,yes,no,1
35.25,3.7,376.6342,yes,no,1
35.75,4.14,474.065,yes,no,0
34.75,7,293.0658,yes,no,3
28.75,7,631.9725,yes,yes,0
29.16667,2.2,69.79333,no,no,0
43.83333,10.5,8.75,yes,no,4
32,3.05,127.4725,no,no,0
56.91667,3.4838,182.0958,yes,no,0
24.33333,3,6.145833,yes,no,2
34.58333,5.1,412.1867,yes,no,4
53,2.45,35.675,yes,no,0
31.16667,2,205.9358,yes,no,1
54.08333,4,43.97417,yes,no,1
45.83333,3.48,188.105,yes,yes,1
20.83333,2,7.083333,yes,yes,0
27.33333,2.15,484.4392,no,no,0
33.25,1.7,8.778334,no,no,0
28.08333,3,174.925,no,no,0
27.16667,2.3558,21.33333,yes,no,2
50,4.5,360.995,yes,no,2
48.33333,3.7,114.6017,yes,no,2
25.25,5.5,113.2958,yes,yes,0
30.75,3.374,33.5075,yes,no,0
63.16667,5.5,93.625,yes,no,1
28.41667,6.9,415.8058,yes,no,0
28.91667,2.75,875.8884,yes,no,1
0.5833333,2.5,173.0233,no,no,0
25.66667,2,7.416667,no,no,0
21.91667,2.6875,165.93,no,no,3
27.16667,2.6796,15.58333,no,no,4
22.5,1.8,178.9158,no,no,0
25.33333,1.56,44.9425,no,no,1
20.16667,1.5,149.5508,no,no,0
25,1.8804,3.75,no,no,0
19.66667,2.2348,82.92084,no,no,0
29.08333,4.01,8.333333,no,no,0
51.58333,12.4999,3099.505,yes,no,1
31.5,1.6,300.4608,no,no,0
46.5,5,112.9167,yes,no,1
24.66667,2.275,94.145,yes,no,2
54.75,3.4,215.4392,no,no,1
21.41667,1.75,35.16833,yes,no,0
27.08333,3.25,22.4625,yes,no,0
45.08333,3.9,294.58,no,no,0
40.91667,4,10.29083,yes,no,1
54.5,4.3,632.0808,yes,no,1
28.16667,3.5,326.5667,yes,no,2
34.08333,8.1,747.67,yes,yes,3
30,4,170.1808,yes,no,5
33.91667,2,1510.534,no,no,0
51.25,5.3,191.7017,no,no,1
27.91667,2.52,188.1858,no,no,1
29,2.5,1096.657,no,no,0
33.5,3.5,276.9842,no,no,0
32.16667,2,38.365,no,no,2
43.33333,4.8,1482.368,yes,no,0
29.83333,3,45.87583,yes,no,2
62,1.638,64.07417,yes,no,0
21.5,2.3779,35.16667,no,no,0
38.25,2.3,129.4167,yes,no,0
39.58333,8.1,663.7692,yes,no,3
34.83333,2.75,75.63417,yes,no,0
28.16667,3.5,3.75,yes,no,1
47.16667,7,301.2525,yes,no,1
28.16667,2.8,224.5817,no,no,0
22.41667,1.95,60.58417,no,no,0
22.91667,2.5,498.9267,no,no,0
37.08333,3,8.333333,no,no,0
27.25,1.8,105.5075,yes,no,2
39.58333,2.6,56.33333,yes,no,3
51.83333,3.6,212.4783,yes,no,1
23.66667,2.3,14.33167,no,no,2
45.58333,4.9,58.93083,yes,no,2
42.25,3.235,66.26417,yes,no,2
25.75,1.85,91.96417,yes,no,0
25.41667,1.56,215.8817,no,no,0
31.83333,4.075,22.98667,yes,no,1
24.16667,2.51,240.38,no,no,0
28.16667,4.375,89.955,yes,no,1
26.58333,2.35,126.6508,no,no,1
20.91667,4,140.3467,yes,no,0
32.16667,3,294.5592,yes,no,2
28.66667,3.5,68.35917,yes,no,5
39.75,3.5,101.4942,yes,no,0
34.83333,5.5,1088.739,yes,no,4
51.75,3.8,47.7875,yes,no,1
22.66667,1.79,50.02833,no,no,0
38.25,5.1,344.0067,yes,no,3
46.25,8.94,188.295,yes,no,0
50.33333,7.1,245.3517,yes,no,2
32.08333,2.4,285.2825,yes,no,0
30.58333,3.305,17.58333,no,no,0
38.83333,6.5,1569.677,yes,no,4
39.58333,4.81,43.74417,yes,no,1
39.66667,3,55.76083,yes,yes,1
41.66667,2.7,97.5125,yes,no,2
38.83333,5.4,58.05416,yes,yes,0
37.08333,8.124,213.1292,yes,yes,3
27.83333,3.04,95.9975,no,no,0
29.5,2.08,61.19917,yes,no,2
30.33333,2.6,640.6533,yes,no,0
37.41667,2.5,61.73583,yes,no,2
44.58333,3.5,34.53167,yes,no,1
25.33333,2.4,213.2925,no,no,0
26.83333,2.32,14,no,no,0
46.16667,2.58,164.6433,yes,no,2
28.08333,2.1,158.6067,yes,no,1
38.41667,2.35,133.9692,no,no,1
28.25,2.3,66.30083,yes,no,1
35.33333,6.888,58.50583,yes,no,0
28.16667,2,100.4167,yes,no,1
25.41667,3,25.5075,no,no,2
26.08333,2.75,420.5808,yes,no,1
31.25,5,309.91,yes,no,2
33.66667,2.1,78.25584,no,no,4
27.91667,4,123.2225,yes,no,2
48.33333,3,79.17583,yes,yes,0
36.83333,3.3,431.1433,no,no,0
27.58333,3.9,134.3858,yes,no,3
40,2.3115,54.96917,no,no,1
40.33333,2,120.5592,no,no,0
23.83333,4.8,320.4867,no,yes,0
34.25,3,1352.488,yes,no,0
21.41667,1.56,87.14917,no,no,0
39.33333,2,81.265,yes,no,2
24.25,2.6,643.3233,no,no,1
47.83333,4.68,134.9183,yes,no,1
34.83333,4,860.755,no,yes,0
52.25,1.8744,85.97833,yes,no,0
47.5,3.1,463.1517,no,no,0
25.75,2.8,134.2008,no,no,0
24.08333,2.04,192.7208,no,no,0
24.5,2.1,562.3592,no,no,0
22.33333,2,274.9467,no,no,0
33.16667,5.6,398.0475,yes,no,4
38.91667,3,124.4758,yes,no,1
22.16667,2.4,163.4175,no,no,0
23.33333,1.85,93.31,no,no,0
24.08333,2.9,113.2492,yes,no,0
52.41667,1.89,37.42916,no,no,0
20.25,2,341.245,no,no,0
25.41667,1.6417,508.2908,no,no,0
24.41667,1.9,432.3592,no,no,0
21.5,1.53,46.29167,yes,no,0
22.41667,3.9946,253.6292,no,no,0
46.33333,1.6,61.7425,no,no,0
19.41667,1.8,125.8917,no,no,0
29.83333,3.7,1836.976,no,no,0
28.91667,2.1,15.58333,no,no,0
26.66667,2,51.75,no,no,1
27,2.675,77.28667,yes,no,0
24.83333,2.1,240.4842,no,no,1
28,2.4,67.39833,no,no,1
39.16667,3.12,69.27333,yes,yes,2
31.41667,3,172.5717,yes,no,1
40.41667,3.115,199.0042,yes,no,1
43.58333,4.3681,160.4792,yes,no,2
42.16667,4.04,44.41333,no,no,0
47.33333,2.7495,492.2558,no,no,0
27.83333,3,401.93,no,no,1
30.66667,3.15,179.1783,yes,no,1
31,2.6,182.1675,no,no,0
21.91667,1.95,61.9525,no,no,0
36.75,3,80.82584,yes,no,3
23.5,2.8,8.333333,yes,no,0
25.33333,4.55,169.0575,yes,no,1
21.25,1.99,57.98083,no,no,2
48.91667,4.5,203.1333,no,no,2
39.08333,3.5,181.015,yes,no,1
31.16667,3.5,483.0608,no,no,1
26.83333,2.9,15.94083,yes,yes,1
39.25,3.4064,180.655,no,yes,1
24.83333,4,4.583333,no,yes,2
27.16667,2.6,1902,no,no,0
24.66667,2.0676,356.7817,no,no,0
25.16667,3.42,24.575,no,no,0
21.91667,6.7,302.2467,no,no,0
40.41667,5.43,33.215,no,no,0
24.08333,1.62,13.68583,no,no,0
31.83333,2.4192,116.3525,no,no,0
24.66667,3.4,144.3975,no,no,0
47.41667,3.6,113.75,yes,yes,2
27.16667,2.5,184.9433,no,no,0
49.58333,1.75,15.3325,yes,no,1
32,2.5,113.1808,no,no,0
35,4.5,37.58333,yes,no,3
20.66667,2.7,156.9,no,no,1
49.83333,6.9,349.2017,yes,no,3
40.75,4.8,615.1208,yes,no,3
20.83333,1.92,208.0833,no,no,0
40.33333,2.8,88.73917,no,no,3
25.08333,1.6949,34.52083,no,no,0
29.33333,3.5,366.745,no,no,0
40.5,2.25,44,no,no,0
30.66667,4,299.8858,yes,no,1
40,4.5,359.1225,no,no,5
23,3.1782,246.5708,no,no,0
23.08333,3,63.99166,no,no,0
31.33333,3,51.645,yes,no,2
36.5,3.5,633.4133,yes,no,0
0.5833333,4,242.1283,yes,no,3
45.58333,11.9999,200.4933,yes,yes,1
0.5,3.7,32.46416,no,no,0
38.91667,3.68,59.61917,yes,no,3
28.25,2.3,315.2017,yes,no,1
26.25,3.1894,258.2908,no,no,0
41.25,3.6,457.4875,yes,no,3
34.75,2,4.583333,yes,no,2
31.5,2.85,745.0383,yes,no,2
24,3.095,180.1775,yes,no,1
25.16667,1.5,111.8392,yes,no,1
57.08333,4.8,613.6425,yes,no,0
23.83333,2.6,333.6117,no,no,0
23.16667,2.85,207.7133,yes,no,1
28.16667,3.35,199.3692,yes,no,0
32.58333,1.8142,81.435,yes,no,0
34.83333,3.6,116.315,yes,yes,4
24.83333,2.4,530.18,no,no,1
29.75,3,116.4492,yes,no,1
34.75,2.34,357.5908,yes,no,0
25.08333,2.1,214.86,no,no,0
22.16667,1.6,200.5867,yes,no,0
26.66667,2.216,56.46333,no,no,0
32,3.65,17.66667,yes,no,2
60.08333,6.1,479.4367,yes,no,1
36.91667,4.5,308.925,yes,no,0
28.83333,2.184,144.6417,yes,no,0
35.16667,2.2,244.6533,yes,no,1
74.16666,2.8065,38.83333,yes,no,0
28.41667,2.4304,462.6558,yes,no,2
55.16667,6.7,214.9342,yes,no,1
39.66667,5.1,244.4233,yes,no,3
44.58333,4.2,135.1842,yes,no,2
30.75,5.6,185.7383,yes,no,0
23.41667,1.86,413.5975,no,no,0
51.91667,6.8,14.66667,no,no,0
22.83333,1.8468,16.91333,no,no,0
36.41667,2.2,20.33333,yes,no,0
32,2.6,5.583333,no,no,0
38.33333,5,238.365,yes,no,3
28.66667,4.22,300.9942,yes,no,1
38.16667,4.0188,552.3417,no,no,3
26.08333,3,113.5892,no,no,0
22,3.1532,99.91666,no,no,0
23.5,2.8,147.3333,no,no,0
29.58333,2.86,480.3233,no,no,0
23.08333,2.04,304.895,no,no,0
33.83333,3.5,63.45667,yes,no,0
64.58334,7.125,149.7,yes,no,1
23.83333,3.3,166.0592,no,no,0
36.91667,2.2,148.19,no,no,1
38.25,3.2,121.2208,yes,no,1
22,4,160.0283,yes,no,0
38.5,5.5689,201.4825,no,no,3
36.58333,7,59.11917,yes,no,3
21.5,5.5,356.8792,no,no,0
41.41667,2.5,159.1958,no,yes,2
25.16667,8,112.8783,yes,no,2
23.5,1.83,108.9775,no,no,1
27.25,2.9,91.6875,no,no,0
41.58333,3.82,462.0208,no,no,2
52.41667,2.4,138.5692,no,yes,1
31.75,2.4,373.4167,no,no,1
36,3,304.6225,no,no,1
21.41667,1.6,385.775,no,no,0
42.08333,2.68,319.43,no,no,1
32.33333,6.3,465.9383,no,yes,4
24.25,1.6,59.78667,no,no,0
32.25,2.6,170.4625,no,no,1
28.91667,2.1,242.195,no,no,2
23.16667,2.5,478.7125,yes,no,0
31.41667,3.56,98.345,no,no,0
24.91667,3.4,301.0175,no,no,0
28.25,2.55,509.0542,no,no,1
47.41667,4.92,183.8983,yes,yes,1
26.41667,3.9,46.52333,no,no,0
37.08333,5.2,256.1867,no,no,0
54.41667,9,470.9733,yes,no,3
35.25,6,2291.174,no,no,2
35.5,7.5,128.4267,yes,no,4
44.5,9,1949.862,no,no,2
20.16667,2.1,269.1533,no,no,1
23.75,3,41.48167,no,no,3
27.58333,2.6,79.36083,no,no,0
54.75,5.48,612.8633,yes,no,1
40.33333,8.2,192.4508,yes,no,3
32.83333,2.5,327.7367,no,no,0
28.5,3,177.6158,yes,no,0
35.5,6.5,365.9058,yes,no,0
56.75,7.572,41.33333,yes,yes,2
28.16667,2,86.14833,no,no,1
40.75,7,376.765,no,no,3
38.41667,3.8,189.1767,yes,no,0
25.91667,3.7,260.1208,yes,no,0
33.16667,3.4,406.9792,yes,no,1
28.33333,2.6,118.7217,no,no,0
22.08333,1.566,91.7325,no,no,0
24.25,1.8,200.2375,yes,no,0
39.41667,3.1,438.3667,yes,no,2
19,2.19,621.66,no,no,0
31.25,5.5,324.705,yes,no,3
31.91667,4.4,148.0592,yes,no,2
33.25,3,940.3925,yes,no,2
26.33333,2.95,325.85,no,no,0
26.66667,1.6,30.54833,yes,no,0
22.41667,2,192.8183,no,no,0
25.08333,2.8542,324.0275,no,yes,1
26.66667,2.2,91.98917,no,no,0
29.41667,3.65,267.3483,no,no,0
57.33333,1.65,12.25,no,no,0
52.16667,2.66,98.57916,yes,no,3
41.83333,2.75,43.20667,yes,no,1
39.41667,1.56,60.06667,no,no,0
28.25,2.0272,187.1425,yes,no,1
38.08333,4,29.975,yes,no,0
55.08333,6.7,445.8058,yes,no,0
29.33333,2.5,374.0517,yes,no,0
25.25,3.2,121.0558,no,no,0
27.25,3.18,240.8208,no,no,2
27.5,3.2,82.3425,yes,no,0
26,1.7305,131.5242,no,no,0
25.91667,2.4,215.7392,no,no,0
43.33333,3.9495,517.2117,yes,no,6
34.91667,3,36.205,no,no,1
27.75,2.65,159.655,no,no,0
39.41667,4.7,247.2992,yes,no,4
40.83333,3.48,21.715,no,no,0
23.33333,2.55,16.25,no,no,1
43.58333,2.77,100.3367,yes,no,0
47.83333,3.1131,64.75584,no,no,0
18.75,1.968,103.9167,no,no,0
21.16667,1.8,288.8017,no,no,0
35.5,5.5,58.60833,no,no,0
24.83333,2.7,387.1742,no,no,1
23.83333,2.35,136.0408,no,no,0
39.91667,4.6,105.325,no,no,2
31.75,10.9999,97.42416,no,no,0
62.5,2.6545,229.4933,no,no,0
36.33333,7.35,436.275,no,no,0
23,3.2,45.12417,no,no,0
28.33333,6.2,355.9683,yes,no,0
38,3.27,650.4375,no,no,2
49.16667,3.7,442.4458,no,no,4
50.91667,1.75,310.8417,no,no,0
45.25,3.7,426.8325,no,no,0
31.66667,3.2,36.25,no,no,1
31.83333,3.1,337.0583,no,no,1
27.58333,5.5,1010.502,no,yes,0
38.33333,3,568.2433,yes,no,0
25.5,2.8,461.9217,no,no,0
41.5,5.1,140.015,no,no,1
34.58333,7,206.3817,no,yes,6
24.5,2.304,719.5059,no,no,0
32.16667,2.3,383.3117,no,no,1
23.83333,2.3,265.6517,no,no,0
26.08333,2.375,282.7258,no,yes,1
30.16667,2.8,383.5667,no,no,0
27.08333,2.5224,494.8875,no,no,1
27.16667,2.2,12.65083,no,no,0
32.41667,3.2,317.4642,no,no,0
32.5,3.7,9.741667,no,no,0
46,1.8,49.41667,no,no,1
22.75,1.82,821.8208,no,no,0
42.08333,5.5,323.9517,no,no,0
21.41667,2.15,476.3158,no,no,0
36.66667,3.8,112.9942,yes,no,3
37.16667,2,44.46333,no,no,1
26.58333,2.45,248.5058,no,no,0
46.41667,3.5,319.7925,yes,no,1
25.58333,2.8,758.9391,no,no,0
30.33333,1.99,412.9933,no,no,0
21,2.1,131.9892,yes,no,0
20,2.79,52.48917,no,no,0
23.25,2.32,225.2692,no,no,0
45.08333,4.6,298.0233,no,no,2
29.75,3,173.4675,no,no,1
52.33333,3.328,79.685,yes,no,1
41.66667,2.4752,138.5467,no,no,2
22.75,4.3,565.3292,no,no,0
29.83333,2.45,220.8942,no,no,2
20.25,1.85,527.9417,yes,no,0
26.08333,2.23,104.7833,no,no,0
32.83333,3.5091,466.3475,no,no,0
27.33333,3.2875,88.8175,no,no,1
28.5,4.232,437.1342,no,yes,0
26,2.2,114.2533,no,no,1
23.75,3,293.0417,no,no,0
25.25,1.8,683.9883,yes,no,0
25.66667,1.7,113.0992,no,no,1
29,5.5,288.3633,no,no,2
40.58333,2.5685,111.675,no,no,0
37.41667,2.5,151.3367,no,no,0
30.83333,3.3026,4.583333,no,no,1
29.83333,2.25,199.795,no,no,0
32.5,10,308.25,yes,no,3
25.5,2.9,193.2933,no,no,0
28.5,3.4,59.85417,no,no,0
27.58333,3.2,313.4333,no,no,0
31.5,2.47,195.0233,no,no,3
27.66667,2.6,162.4458,no,no,2
22.66667,2.1,314.4908,no,no,0
30.08333,1.95,292.9483,no,no,0
31.58333,3,533.6275,no,no,0
32.33333,4.5,343.6542,no,no,0
45.16667,3.5,397.0333,yes,no,0
25.41667,2.1,71.66666,yes,no,0
40.75,5,503.5475,no,no,0
40.16667,2.45,142.5142,no,no,0
41.41667,3.5,8.333333,no,no,1
24.5,2.5,487.4817,no,no,0
25.16667,2.656,352.8483,yes,no,0
